"date","year","season","sampleTime","location","habitat","sampleID","labelColor","microhabitat","acceptedTaxonID","taxonRank","scientificName","phylum","subphylum","class","order","family","subfamily","tribe","genus","species","organism_aggr","notes","number","tolerance","FFG","FFG2","Habit","Habit2","num_quads","depth","per_sediment","per_rock","per_organic","sky","startTime","endTime","lat","long","alt","pH","wTemp","DO","turb","cond","benthicArea","inv.dens","mon.precip","mon.ADD","mean.discharge","median.discharge","mean.gh","median.gh"
2019-05-28,"2019","Summer","Summer 2019","Downstream","Riffle","01DRSU19","Lavender","DFR","ACETUR","species","Acentrella turbida","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,NA,"Acentrella","turbida","Acentrella",NA,1,4,"cg",NA,"sw","clg",2,22.5,5,94,1,"cloudy/rainy",10:19:00,11:05:00,42.3151,-72.641135,62,7.48,17,10.23,6.75,127.4,0.5,2,69.8,384.75,69.5677083333333,66.6,6.17375,6.15
2019-05-28,"2019","Summer","Summer 2019","Downstream","Riffle","01DRSU19","Lavender","DSH","ACETUR","species","Acentrella turbida","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,NA,"Acentrella","turbida","Acentrella",NA,1,4,"cg",NA,"sw","clg",2,19.25,17.5,79,3.5,"cloudy/rainy",11:05:00,11:36:00,42.31507,-72.640965,71,7.475,17.1,10.275,10.25,126.65,0.5,2,69.8,384.75,69.5677083333333,66.6,6.17375,6.15
2019-05-28,"2019","Summer","Summer 2019","Downstream","Riffle","01DRSU19","Lavender","DSR","ACRSP4","genus","Acroneuria sp.","Arthropoda","Hexapoda","Insecta","Plecoptera","Perlidae",NA,NA,"Acroneuria",NA,"Acroneuria",NA,1,0,"prd",NA,"clg",NA,2,22.5,9.5,89.5,1,"cloudy/rainy",09:40:00,10:19:00,42.31493,-72.641015,45.5,7.46,16.9,10.1,6.95,128.05,0.5,2,69.8,384.75,69.5677083333333,66.6,6.17375,6.15
2019-05-28,"2019","Summer","Summer 2019","Downstream","Riffle","01DRSU19","Lavender","DSP","ANTSP9","genus","Antocha sp.","Arthropoda","Hexapoda","Insecta","Diptera","Tipulidae",NA,NA,"Antocha",NA,"Antocha","fly larva",1,3,"cg",NA,"clg",NA,2,16.75,7.5,91,1.5,"cloudy/rainy",11:36:00,12:08:00,42.33036,-72.64107,37,7.49,16.9,10.315,7.65,127.325,0.5,2,69.8,384.75,69.5677083333333,66.6,6.17375,6.15
2019-05-28,"2019","Summer","Summer 2019","Downstream","Riffle","01DRSU19","Lavender","DSP","ANTSP9","genus","Antocha sp.","Arthropoda","Hexapoda","Insecta","Diptera","Tipulidae",NA,NA,"Antocha",NA,"Antocha","larvae",7,3,"cg",NA,"clg",NA,2,16.75,7.5,91,1.5,"cloudy/rainy",11:36:00,12:08:00,42.33036,-72.64107,37,7.49,16.9,10.315,7.65,127.325,0.5,14,69.8,384.75,69.5677083333333,66.6,6.17375,6.15
2019-05-28,"2019","Summer","Summer 2019","Downstream","Riffle","01DRSU19","Lavender","DFR","ANTSP9","genus","Antocha sp.","Arthropoda","Hexapoda","Insecta","Diptera","Tipulidae",NA,NA,"Antocha",NA,"Antocha","larvae",3,3,"cg",NA,"clg",NA,2,22.5,5,94,1,"cloudy/rainy",10:19:00,11:05:00,42.3151,-72.641135,62,7.48,17,10.23,6.75,127.4,0.5,6,69.8,384.75,69.5677083333333,66.6,6.17375,6.15
2019-05-28,"2019","Summer","Summer 2019","Downstream","Riffle","01DRSU19","Lavender","DM","APASP2","genus","Apatania sp.","Arthropoda","Hexapoda","Insecta","Trichoptera","Apataniidae",NA,NA,"Apatania",NA,"Apatania",NA,2,3,"scr","cg","clg","cli",2,22.75,20,78,2,"cloudy/rainy",12:08:00,12:30:00,42.315075,-72.641115,63,7.47,16.9,10.295,9.9,128.55,0.5,4,69.8,384.75,69.5677083333333,66.6,6.17375,6.15
2019-05-28,"2019","Summer","Summer 2019","Downstream","Riffle","01DRSU19","Lavender","DFR","ATTSP1","genus","Attaneuria sp.","Arthropoda","Hexapoda","Insecta","Plecoptera","Perlidae",NA,NA,"Attaneuria",NA,"Attaneuria","monochromatic brown, pic on phone",1,3,"prd",NA,NA,NA,2,22.5,5,94,1,"cloudy/rainy",10:19:00,11:05:00,42.3151,-72.641135,62,7.48,17,10.23,6.75,127.4,0.5,2,69.8,384.75,69.5677083333333,66.6,6.17375,6.15
2019-05-28,"2019","Summer","Summer 2019","Downstream","Riffle","01DRSU19","Lavender","DSP","BAESP2","genus","Baetis sp.","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,NA,"Baetis",NA,"Baetis",NA,5,4,"cg","scr","sw","clg",2,16.75,7.5,91,1.5,"cloudy/rainy",11:36:00,12:08:00,42.33036,-72.64107,37,7.49,16.9,10.315,7.65,127.325,0.5,10,69.8,384.75,69.5677083333333,66.6,6.17375,6.15
2019-05-28,"2019","Summer","Summer 2019","Downstream","Riffle","01DRSU19","Lavender","DM","CERBRO","species","Ceratopsyche bronta","Arthropoda","Hexapoda","Insecta","Trichoptera","Hydropsychidae",NA,NA,"Hydropsyche","bronta","Hydropsyche",NA,1,6,"cf","om","clg",NA,2,22.75,20,78,2,"cloudy/rainy",12:08:00,12:30:00,42.315075,-72.641115,63,7.47,16.9,10.295,9.9,128.55,0.5,2,69.8,384.75,69.5677083333333,66.6,6.17375,6.15
2019-05-28,"2019","Summer","Summer 2019","Downstream","Riffle","01DRSU19","Lavender","DSH","CERBRO","species","Ceratopsyche bronta","Arthropoda","Hexapoda","Insecta","Trichoptera","Hydropsychidae",NA,NA,"Hydropsyche","bronta","Hydropsyche",NA,2,6,"cf","om","clg",NA,2,19.25,17.5,79,3.5,"cloudy/rainy",11:05:00,11:36:00,42.31507,-72.640965,71,7.475,17.1,10.275,10.25,126.65,0.5,4,69.8,384.75,69.5677083333333,66.6,6.17375,6.15
2019-05-28,"2019","Summer","Summer 2019","Downstream","Riffle","01DRSU19","Lavender","DM","CERMOR","species","Ceratopsyche morosa","Arthropoda","Hexapoda","Insecta","Trichoptera","Hydropsychidae",NA,NA,"Hydropsyche","morosa","Hydropsyche",NA,5,6,"cf","om","clg",NA,2,22.75,20,78,2,"cloudy/rainy",12:08:00,12:30:00,42.315075,-72.641115,63,7.47,16.9,10.295,9.9,128.55,0.5,10,69.8,384.75,69.5677083333333,66.6,6.17375,6.15
2019-05-28,"2019","Summer","Summer 2019","Downstream","Riffle","01DRSU19","Lavender","DSH","CERMOR","species","Ceratopsyche morosa","Arthropoda","Hexapoda","Insecta","Trichoptera","Hydropsychidae",NA,NA,"Hydropsyche","morosa","Hydropsyche",NA,6,6,"cf","om","clg",NA,2,19.25,17.5,79,3.5,"cloudy/rainy",11:05:00,11:36:00,42.31507,-72.640965,71,7.475,17.1,10.275,10.25,126.65,0.5,12,69.8,384.75,69.5677083333333,66.6,6.17375,6.15
2019-05-28,"2019","Summer","Summer 2019","Downstream","Riffle","01DRSU19","Lavender","DSP","CERMOR","species","Ceratopsyche morosa","Arthropoda","Hexapoda","Insecta","Trichoptera","Hydropsychidae",NA,NA,"Hydropsyche","morosa","Hydropsyche",NA,6,6,"cf","om","clg",NA,2,16.75,7.5,91,1.5,"cloudy/rainy",11:36:00,12:08:00,42.33036,-72.64107,37,7.49,16.9,10.315,7.65,127.325,0.5,12,69.8,384.75,69.5677083333333,66.6,6.17375,6.15
2019-05-28,"2019","Summer","Summer 2019","Downstream","Riffle","01DRSU19","Lavender","DSR","CERMOR","species","Ceratopsyche morosa","Arthropoda","Hexapoda","Insecta","Trichoptera","Hydropsychidae",NA,NA,"Hydropsyche","morosa","Hydropsyche",NA,1,6,"cf","om","clg",NA,2,22.5,9.5,89.5,1,"cloudy/rainy",09:40:00,10:19:00,42.31493,-72.641015,45.5,7.46,16.9,10.1,6.95,128.05,0.5,2,69.8,384.75,69.5677083333333,66.6,6.17375,6.15
