"","date","year","domainID","siteID","algSampleID","eventID","namedLocation","decimalLatitude","decimalLongitude","elevation","habitatType","algalSampleType","samplerType","benthicArea","substratumSizeClass"
"1",2016-10-05,2016,"D01","HOPB","HOPB.20161005.EPIPSAMMON.2","HOPB.20161005","HOPB.AOS.reach",42.471941,-72.329526,203.4,"pool","epipsammon",NA,0.005938,"sand"
"2",2016-10-05,2016,"D01","HOPB","HOPB.20161005.SESTON.1","HOPB.20161005","HOPB.AOS.S2",42.471741,-72.330664,213.6,"pool","seston",NA,NA,"cobble"
"3",2016-10-05,2016,"D01","HOPB","HOPB.20161005.EPIPSAMMON.1","HOPB.20161005","HOPB.AOS.reach",42.471941,-72.329526,203.4,"pool","epipsammon",NA,0.005938,"sand"
"4",2016-10-05,2016,"D01","HOPB","HOPB.20161005.EPIPSAMMON.3","HOPB.20161005","HOPB.AOS.reach",42.471941,-72.329526,203.4,"pool","epipsammon",NA,0.005938,"sand"
"5",2016-10-05,2016,"D01","HOPB","HOPB.20161005.EPILITHON.5","HOPB.20161005","HOPB.AOS.reach",42.471941,-72.329526,203.4,"riffle","epilithon",NA,0.002406,"cobble"
"6",2016-10-05,2016,"D01","HOPB","HOPB.20161005.EPILITHON.4","HOPB.20161005","HOPB.AOS.reach",42.471941,-72.329526,203.4,"riffle","epilithon",NA,0.002406,"cobble"
"7",2016-10-05,2016,"D01","HOPB","HOPB.20161005.EPILITHON.3","HOPB.20161005","HOPB.AOS.reach",42.471941,-72.329526,203.4,"riffle","epilithon",NA,0.002406,"cobble"
"8",2016-10-05,2016,"D01","HOPB","HOPB.20161005.EPILITHON.2","HOPB.20161005","HOPB.AOS.reach",42.471941,-72.329526,203.4,"riffle","epilithon",NA,0.002406,"cobble"
"9",2016-10-05,2016,"D01","HOPB","HOPB.20161005.EPILITHON.1","HOPB.20161005","HOPB.AOS.reach",42.471941,-72.329526,203.4,"riffle","epilithon",NA,0.002406,"cobble"
"10",2017-04-19,2017,"D01","HOPB","HOPB.20170419.EPIPSAMMON.2","HOPB.20170419","HOPB.AOS.reach",42.471941,-72.329526,203.4,"pool","epipsammon",NA,0.005938,"sand"
"11",2017-04-19,2017,"D01","HOPB","HOPB.20170419.EPILITHON.1","HOPB.20170419","HOPB.AOS.reach",42.471941,-72.329526,203.4,"riffle","epilithon",NA,0.002406,"cobble"
"12",2017-04-19,2017,"D01","HOPB","HOPB.20170419.EPIPSAMMON.1","HOPB.20170419","HOPB.AOS.reach",42.471941,-72.329526,203.4,"pool","epipsammon",NA,0.005938,"sand"
"13",2017-04-19,2017,"D01","HOPB","HOPB.20170419.EPILITHON.5","HOPB.20170419","HOPB.AOS.reach",42.471941,-72.329526,203.4,"riffle","epilithon",NA,0.002406,"cobble"
